Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-02-28,1.7,1.7,1.7,1.7
2018-03-30,2,2,2,2
2018-04-30,1.9,1.9,1.9,1.9
2018-05-31,2.1,2.1,2.1,2.1
2018-06-29,2.1,2.1,2.1,2.1
2018-07-31,2.1,2.1,2.1,2.1
2018-08-31,2,2,2,2
2018-09-28,2.3,2.3,2.3,2.3
2018-10-31,2.3,2.3,2.3,2.3
2018-11-30,2,2,2,2
2018-12-31,2,2,2,2
2019-01-31,1.9,1.9,1.9,1.9
2019-02-28,1.9,1.9,1.9,1.9
2019-03-29,1.9,1.9,1.9,1.9
2019-04-30,2.1,2.1,2.1,2.1
2019-05-31,2.2,2.2,2.2,2.2
2019-06-28,1.8,1.8,1.8,1.8
2019-07-31,1.7,1.7,1.7,1.7
2019-08-30,1.4,1.4,1.4,1.4
2019-09-30,1.5,1.5,1.5,1.5
2019-10-31,1.6,1.6,1.6,1.6
2019-11-29,1.8,1.8,1.8,1.8
2019-12-31,1.8,1.8,1.8,1.8
2020-01-31,1.3,1.3,1.3,1.3
2020-02-28,1,1,1,1
2020-03-31,0.6,0.6,0.6,0.6
2020-04-30,0,0,0,0
2020-06-30,0.7,0.7,0.7,0.7
2020-07-31,0.5,0.5,0.5,0.5
2020-08-31,0.8,0.8,0.8,0.8
2020-09-30,0.4,0.4,0.4,0.4
2020-10-30,0.3,0.3,0.3,0.3
2020-11-30,0.2,0.2,0.2,0.2
2020-12-31,0.5,0.5,0.5,0.5
2021-01-29,1.6,1.6,1.6,1.6
2021-02-26,1.4,1.4,1.4,1.4
2021-03-31,1.7,1.7,1.7,1.7
2021-04-30,2.2,2.2,2.2,2.2
2021-05-31,1.8,1.8,1.8,1.8
2021-06-30,1.3,1.3,1.3,1.3
2021-07-30,1.4,1.4,1.4,1.4
2021-08-31,2.1,2.1,2.1,2.1
2021-09-30,2.5,2.5,2.5,2.5
2021-10-29,2.8,2.8,2.8,2.8
2021-11-30,3.3,3.3,3.3,3.3
2021-12-31,3.9,3.9,3.9,3.9
2022-01-31,3.7,3.7,3.7,3.7
2022-02-28,4.3,4.3,4.3,4.3
2022-03-31,6,6,6,6
2022-04-29,6.4,6.4,6.4,6.4
2022-05-31,7.3,7.3,7.3,7.3
2022-06-30,8.7,8.7,8.7,8.7
2022-07-29,8.5,8.5,8.5,8.5
2022-08-31,9.8,9.8,9.8,9.8
2022-09-30,10.8,10.8,10.8,10.8
2022-10-31,10.9,10.9,10.9,10.9
2022-11-30,11.5,11.5,11.5,11.5
2022-12-30,12.3,12.3,12.3,12.3
2023-01-31,11.7,11.7,11.7,11.7
2023-02-28,12,12,12,12
2023-03-31,10.6,10.6,10.6,10.6
2023-04-28,10.5,10.5,10.5,10.5
2023-05-31,9.7,9.7,9.7,9.7
2023-06-30,9.3,9.3,9.3,9.3
2023-07-31,9.3,9.3,9.3,9.3
2023-08-31,7.5,7.5,7.5,7.5
