Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1997-11-26,116.319,116.319,107.681,107.681,13849071.005919
1997-11-27,110.611,110.611,106.942,106.942,8421175.0523019
1997-11-28,104.021,106.942,102.578,102.578,3990128.0872456
1997-12-01,105.49,107.315,104.938,106.586,3127876.7943405
1997-12-02,105.678,106.942,105.125,105.855,3666715.6333023
1997-12-03,104.751,106.595,104.021,106.22,9636526.1810348
1997-12-04,104.075,109.15,104.075,107.485,9843575.3723907
1997-12-05,107.681,114.208,107.315,107.592,6937810.9967238
1997-12-08,115.66,115.66,111.34,114.208,42685266.006309
1997-12-09,113.122,113.487,105.526,111.34,37977596.470465
1997-12-10,111.34,111.34,108.394,110.78,5630382.6063876
1997-12-11,106.942,107.859,105.49,106.586,10606856.747567
1997-12-12,106.586,108.598,105.784,107.904,6087433.758214
1997-12-15,108.403,113.318,108.403,112.774,7182505.9039437
1997-12-16,112.774,115.294,112.774,112.774,6020427.438395
1997-12-17,112.062,113.345,109.871,110.611,6856817.2339744
1997-12-18,109.15,109.969,107.681,109.507,6681804.6321629
1997-12-19,108.767,109.88,106.586,107.859,5083979.5882688
1997-12-22,107.681,109.15,106.22,109.15,2882136.4223351
1997-12-23,109.15,110.611,108.403,110.254,1530696.3227201
1997-12-24,108.963,108.963,106.942,107.315,333026.01358749
1997-12-29,108.403,110.254,107.289,109.685,2830262.9526231
1997-12-30,109.88,114.208,108.767,110.611,5179712.0463025
1997-12-31,112.419,116.025,110.718,113.487,1802893.3546038
1998-01-02,116.39,117.129,116.025,116.755,1114376.7484447
1998-01-05,115.66,121.52,114.939,120.78,7755190.4020196
1998-01-06,120.78,120.958,118.955,119.694,2657494.0013395
1998-01-07,117.129,118.59,114.208,114.743,3910314.5430671
1998-01-08,112.774,113.487,108.403,109.88,3328958.638897
1998-01-09,109.15,109.15,107.315,107.895,2948755.3250208
1998-01-12,102.578,105.125,101.848,104.751,3570383.5209232
1998-01-13,102.578,104.395,100.21,100.77,5052862.6933101
1998-01-14,102.222,103.852,101.848,102.578,4295013.0186367
1998-01-15,101.492,102.578,100.032,100.396,6321862.6728784
1998-01-16,101.492,102.035,100.574,101.305,5845568.6804887
1998-01-19,100.94,101.127,99.6662,100.574,2643600.8860588
1998-01-20,100.21,102.578,99.6662,101.661,3111215.6117169
1998-01-21,101.848,101.848,97.8585,98.7579,10343219.949904
1998-01-22,96.9501,104.751,96.9501,100.993,9773036.2574964
1998-01-23,102.944,103.665,99.6662,100.032,5972473.0579435
1998-01-26,99.6662,100.032,97.4844,98.2147,7767724.7499637
1998-01-27,97.8585,98.5798,97.2975,97.4844,4001825.8387715
1998-01-28,98.2147,103.852,97.8585,101.127,6584740.3575495
1998-01-29,103.317,111.34,101.305,109.88,10009157.455116
1998-01-30,109.32,110.611,107.315,110.611,5005459.6804307
1998-02-02,109.88,111.679,107.503,111.51,4527161.2254822
1998-02-03,112.774,113.861,110.967,113.861,3422281.2500676
1998-02-04,112.419,112.419,105.49,108.126,1742171.0529801
1998-02-05,107.315,110.424,107.315,109.15,6724374.4759372
1998-02-06,107.681,109.88,107.315,109.15,7377322.8204247
1998-02-09,109.15,109.88,106.22,108.767,3715883.9207712
1998-02-10,105.49,107.681,105.125,106.942,2954253.2794674
1998-02-11,106.22,108.403,105.722,107.859,7899123.1661635
1998-02-12,106.942,110.254,105.49,109.88,9491615.3289982
1998-02-13,109.507,113.487,108.963,110.691,5394472.5230313
1998-02-16,110.611,112.605,109.507,109.88,2234241.3448024
1998-02-17,110.967,112.062,109.88,112.062,6254747.427083
1998-02-18,110.049,112.062,109.507,109.658,2994043.8264167
1998-02-19,109.88,112.774,109.685,110.611,3516256.2941495
1998-02-20,111.34,114.208,110.424,113.487,3638567.8134166
1998-02-23,113.122,114.03,111.679,112.944,3579319.9427955
1998-02-24,111.679,113.273,109.507,110.611,5419458.1207515
1998-02-25,109.507,110.78,105.125,106.942,6830593.0243761
