Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1997-11-04,63.5438,63.5438,63.5438,63.5438,1196003.766033
1997-11-05,64.3807,64.3807,62.7079,62.7279,66599.444099456
1997-11-06,62.7919,63.0428,62.7079,63.0428,96246.867595993
1997-11-07,63.2098,63.2098,62.7079,62.7079,306475.05247137
1997-11-10,63.0428,63.0428,62.7079,62.7079,38996.187701146
1997-11-11,64.2128,64.3807,62.7079,64.3807,531964.4848609
1997-11-12,62.7079,64.0448,62.7079,62.7079,111718.13227778
1997-11-13,62.8749,63.2098,62.0409,62.0409,435435.59421124
1997-11-14,62.0409,62.0409,62.0409,62.0409,4484.3665696904
1997-11-17,62.0409,62.0409,61.8739,61.8739,82943.780149512
1997-11-18,63.5438,63.5438,62.3769,63.5438,598002.88309827
1997-11-19,63.0428,64.0448,62.8749,64.0448,126011.30065735
1997-11-20,62.7079,62.7079,62.7079,62.7079,82955.781130519
1997-11-21,62.8749,63.5438,62.7509,63.0428,411855.66669559
1997-11-24,62.8749,62.8749,61.8739,61.8739,756580.84588216
1997-11-25,62.0409,62.0409,61.8739,61.8739,125580.26542284
1997-11-26,61.037,61.373,61.037,61.037,106056.66948763
1997-11-27,61.037,61.8739,60.2011,60.2011,2144497.2996101
1997-11-28,60.2011,60.2011,58.0283,58.0283,474490.78673567
1997-12-01,60.2011,60.2011,57.6933,57.6933,64147.243646985
1997-12-02,58.5282,58.5282,57.6933,57.8593,106263.68641
1997-12-03,57.6933,57.6933,57.6933,57.6933,4484.3665696904
1997-12-04,58.5282,58.5282,58.5282,58.5282,16640.360248233
1997-12-05,58.5282,58.5282,58.5282,58.5282,2988.2442707928
1997-12-08,57.6933,58.5282,57.0223,57.6933,27892.280024234
1997-12-09,56.8564,56.8564,56.0194,56.0194,41853.42126261
1997-12-10,56.3544,56.8564,56.3544,56.3544,604878.44513365
1997-12-11,56.8564,56.8564,56.8564,56.8564,2827.2311089462
1997-12-12,56.0194,56.0194,56.0194,56.0194,37077.030821744
1997-12-15,56.0194,56.0194,56.0194,56.0194,20927.710713056
1997-12-16,56.4384,56.8564,56.4384,56.8564,6578.5377554468
1997-12-17,56.0194,56.0194,56.0194,56.0194,7062.5773227372
1997-12-18,56.1874,56.1874,56.0194,56.0194,46327.787014794
1997-12-22,56.1874,56.1874,56.1874,56.1874,106442.70104336
1997-12-23,56.0194,56.1874,54.3466,54.3466,93765.664772755
1997-12-24,54.3466,54.3466,54.3466,54.3466,5980.488868588
1997-12-29,55.6834,55.6834,55.6834,55.6834,10536.861324322
1997-12-30,54.3466,54.3466,54.3466,54.3466,596.0487233576
1998-01-05,55.5205,55.8504,54.3466,55.8504,72560.931414783
1998-01-07,54.3466,54.4306,54.3466,54.4306,40064.275010787
1998-01-08,54.5155,55.6834,54.3466,54.3466,151112.35251566
1998-01-09,54.8505,55.6834,54.3466,55.6834,1158330.6864879
1998-01-12,54.3466,56.0194,54.3466,56.0194,13154.075265642
1998-01-13,54.3466,54.3466,53.5096,53.5096,41983.431890188
1998-01-14,53.5096,54.8505,53.5096,53.5096,188598.4167734
1998-01-15,53.1757,53.1757,52.6737,53.1757,100440.21037626
1998-01-19,51.8368,53.5096,51.8368,53.5096,48524.966620863
1998-01-20,51.0018,51.0018,51.0018,51.0018,55240.515576142
1998-01-21,49.8339,49.8339,49.332,49.332,53277.355099714
1998-01-22,50.8348,50.8348,50.8348,50.8348,179400.66491313
1998-01-23,51.0018,51.0018,49.499,50.6699,2050409.6085136
1998-01-26,51.8368,51.8368,51.0018,51.7538,203319.62014223
1998-01-27,51.8368,51.8368,51.0018,51.8368,518162.35662087
1998-01-28,51.2948,53.5096,51.2948,53.5096,192687.7510516
1998-01-29,53.3436,53.5096,51.8368,51.8368,18238.490885692
1998-01-30,52.3937,53.5096,51.8368,53.5096,370762.30756344
1998-02-02,53.5096,53.5096,53.1757,53.5096,4612116.0124303
1998-02-03,52.8417,53.3436,51.8368,51.8368,1509954.4295901
1998-02-04,52.0057,52.0057,51.8368,51.8368,5663080.9224191
1998-02-05,51.8368,51.8368,51.0018,51.0018,1733906.736329
1998-02-06,51.0018,51.8368,51.0018,51.8368,3593992.7870495
1998-02-09,51.6708,52.6737,51.6708,51.8368,3963444.9875196
